company,job_count
CoreOps.AI,11
Bluesoft Software Solution,11
Iflowtech Solutions,10
Experis,10
Delhivery,10
Fidelity International,10
Algoworks,10
MNC,10
Castrol,10
Cradlepoint,10
Wolters Kluwer - Medknow Publications,10
Orants Ai,10
Innodata India,10
Freelancer,10
Avance Consulting Services,10
TMF Group,10
BMW Techworks India,10
Amantya Technologies,10
APM Terminals,10
Route Mobile (RML),10
MUFG Bank,10
Aziro,10
Celebal Technologies,10
Trigyn Technologies,10
Landis Gyr,10
Kloud9,10
Nityo Infotech,10
Jade Global,10
Praxis Consultants,10
GE VERNOVA,10
Foreign IT Consulting MNC,10
Naukri Expert Assist,10
Clarice Technologie,10
Times World Information Technology,10
Infineon,10
Swiss Re,10
Zydus Hospitals,10
Atos,10
Everforth Quinnox,10
Apple,10
Mendine Pharmaceuticals,10
Net Connect,10
Boosta,9
Ahana Systems & Solutions,9
Crimson Interactive,9
Abbyy,9
Udacity,9
Bamboo Works,9
American Express Global Business Travel,9
AMK Group,9
Statusneo Technology Consulting,9
Cvent,9
Devlats,9
Shell Pvt Ltd,9
Ericsson,9
Orcapod Consulting Services Private Limited,9
Taskus,9
Syneos Health,9
ORMAE (Operations Research Machine learning & Analytics Experts LLP),9
RSM US in India,9
Cushman & Wakefield,9
ISS Corporate Solutions,9
athenahealth,9
Intersources Inc,9
Securens Systems,9
Sigma Allied Services,9
Wells Fargo,9
Thomson Reuters,9
Emperen Technologies,9
Stemford India,9
Hir Infotech,9
Codincity Digital Technologies,9
Credera,9
Motorola Solutions,9
ACL Digital,9
Cummins,9
Net2Source,9
TechKnowledgeHub.org,9
Rackspace Technology,9
Simplify Healthcare,9
Techokids,9
Triumphant Itcs,9
Learningmate Solutions,9
Apex 2000 INC,9
Nexturn,9
Thoucentric,9
Bharti AXA General Insurance,9
Publicis Sapient,9
Newgen,9
Netomi,9
Jalopeura Technology,9
Quadrant Technologies,9
Supplycopia Software Services,9
Trinity Life Sciences,8
Elaarson Industries,8
Hsbc,8
LexisNexis Risk Solutions,8
National Institute for Smart Government (NISG),8
Synopsys,8
Orcapod Consulting Services,8
Blackstraw Technologies,8
Cerebraix,8
ABB,8
SG Analytics,8
Gratitude India,8
Snapdeal,8
Airtel,8
Mindrift,8
World Courier,8
Highstreet It Solutions,8
Service Industry,8
Figmenta,8
Medcare Hospital & Medical Centres,8
Screen Rant,8
First Source Energy India,8
Gigafactor Solutions,8
Lam Research,8
CMM Level 5 IT Company,8
Target,8
Think People Solutions,8
Cisco,8
Axa Xl,8
OYO,8
Bold Technology Systems,8
Aditya Birla Insulators,8
Hurix,8
Black Poison Tattoo Studio,8
Bandhan Life Insurance Limited,8
Mastek,8
Proclink,8
Naghavi Fintech,8
Staffice Global,8
First Solar,8
LeadWinner,8
Fortune 500 IT MNC,8
client of kaizen,8
NXG World,8
FCS Software Solutions,8
Thales India Pvt Ltd,8
Suzega,8
Infinite,8
Tavant,8
Version 1,8
Convergepoint,8
Exponentia.ai Private Limited,8
Big 4 Consulting Firm,8
Knowledge Park,8
Leading IT Software Company,8
ELF Beauty,8
9yards It Technology,8
IntraEdge Technology,8
Availity,8
Saint Gobain,8
Sophos,8
ICICI Lombard,8
Analytics Vidhya,8
Geoconsultants India Services,8
Aepl,8
Coverforce,8
RIMES,8
Payoneer,8
T&N Business Services,7
Material+,7
E Billing Solutions (EBS),7
Novo Nordisk,7
Epsilon Data Management,7
Rentokil Initial,7
Somnetics Som Imaging Informatics,7
Smiths Detection,7
Nokia,7
Cloudsufi,7
Wissen Technology,7
Brillius,7
DBS Bank,7
MSCI Services,7
Binance,7
Thrise,7
Seven Consultancy,7
Mondelez,7
Itisconfidential,7
Service based MNC in B2B IT Services Sector,7
Armanino,7
SSTech System,7
Dtcc,7
Huron,7
SES Global Technology Services,7
E2M Solutions,7
WPP,7
Numentica,7
NS Global Corporation,7
Neoware Technology Solutions,7
Niva Bupa Health Insurance,7
Next Business Services India,7
Aryavart Institute Of Technology,7
Anlage Infotech,7
Yogini Tradex,7
Dayforce,7
Team Computers,7
India's Largest IT Service Provider,7
Matangi Industries,7
Adani Transmission (ATL),7
ABB Ltd,7
Rapid Canvas,7
Geotechnosoft,7
Prudential Corporation Asia,7
Sanfoundry,7
Twilio,7
tekskills india,7
Artech India,7
Easemytrip,7
Acciojob,7
Kinara.ai,7
tekskills india pvt ltd,7
Eurofins,7
SRS Infoway,7
Earnin,7
Qualtech Edge,7
Indium Global Services,7
US MNC (Analytics),7
Claight Corporation Expert Market Research,7
teamplus staffing solution,7
Globiva,7
Dev Solutions,7
Vconstruct,7
BMC Software,7
Marktine,7
Angel One,7
Leading MNC,7
Metlife,7
Transunion,7
Zymr Systems,7
Honeybee Tech Solutions,7
Xebia It Architects,7
Superstuff,7
Tecnimont,7
R1 RCM,7
Plasma Softech,7
A1 Human Wealth Management,7
Symmetry Systems,7
HighSpring India LLP,7
Consulting Firm,6
Svitla Systems,6
Mindteck,6
Vinove Software,6
Leading IT Firm,6
Enfuse Solutions,6
oaknorth.ai,6
Randstad,6
Amiseq,6
Geak Minds,6
i2e Consulting,6
Exxon Mobil Corporation,6
Deloitte Shared Services India,6
Vimerse Infotech,6
Tata Consultancy Services(TCS),6
Artex Risk Solutions,6
ZoomRx Healthcare Technology Solutions,6
Arise Solutions,6
Saicon Technologies India,6
Getronics,6
Cybernetics Controls,6
Mphasis,6
Cerebra,6
Barclaycard Payments,6
Srijan- A Material+ Company,6
Srijan,6
Finbox,6
Certifyos,6
Circle Internet Tech,6
John Crane Sealing Systems India,6
HARMAN India,6
Robusta Technology Group,6
Owens & Minor,6
Spigot Software,6
Zscaler LATAM,6
Marsh McLennan,6
Sbicap Securities,6
Netlink Software,6
Credence Resource Management,6
Futran Tech Solutions,6
Porter,6
Olam International,6
Perpetuity Capital,6
Zennial Pro,6
Sisl Infotech,6
Silverline It,6
Navsan,6
Starbucks,6
KSB,6
Amgen Inc,6
Info Services,6
Aerobotics7,6
Aeries Technology,6
Confidential,6
Macgence,6
Codeclouds It Solutions,6
Taffi,6
M&G plc,6
Arahas Technologies,6
Srijan Spectrum,6
Programmers io,6
NICE,6
Rysun Labs,6
Egon Zehnder,6
Precision Medicine Group,6
Techcronus,6
Amnex,6
Retisio,6
Decimal Point Analytics,6
ITC Infotech,6
Fiserv,6
Calderys India Refractories,6
Vijay Mamra,6
India Health Link,6
Guidehouse,6
Classic Marble Company,6
Pearson,6
Hiringhood,6
Growexx,6
TechBlocks,6
MKS Instruments,6
CDM Smith,6
Staples,6
Advantmed,6
Emerson,6
Stimuler,6
Seleccion Consulting,6
Codersarts,6
Mancer Consulting Services,6
Livecareer India,6
MS Guide World,6
Kenvue Brands LLC,6
Arsr Technologies,6
Tekskills.Inc,6
Mott Macdonald,6
SUMOLOGIC TECHNOLOGIES PRIVATE LIMITED,6
Saarthee,6
Crowdstrike,6
Getinz Techno Services,6
Gebbs Healthcare Solutions,6
BDO India,6
Mckinsey & Company,6
Client of Sampoorna Consultants Pvt. Ltd,6
Tarento Technologies,6
2coms,6
Cashos Technologies Pte Ltd,6
Cognitive View,6
Hitachi,6
Jefferies Financial Group,6
Whizz Edu Tech,6
MMK Enterprises,6
Jero Technologies,6
TD Synnex,6
Velocitai Digital,6
Nasdaq,5
Rankitright Media(opc),5
Russell Investments,5
Environmental Resources Management (ERM),5
QualityKiosk,5
INGRAM MICRO PLATFORM TECHNOLOGY INDIA PVT LTD,5
Growth Jockey,5
Airlinepros International Service Center,5
Vinove Software Services Pvt Ltd,5
Billennium,5
Big Data Exchange,5
Aark Global,5
Pharmaforceiq,5
Globlyn Technology,5
Elev8 Education,5
Fresh Gravity,5
BNYMellonInternationalOperations(India) PrivateLim ited,5
Aumni Techworks,5
Krayo,5
Blue Altair,5
Rategain,5
R C W M A S Global,5
Amherst Group,5
Unify Technologies,5
Continental,5
Tristha Global,5
Apphienz,5
Codefeast Enterprises,5
Wize Careers Consultants,5
Miracle Corporate Solutions,5
Pracyva Consulting Services,5
Roku,5
Guidewire Software,5
Vitestork Consulting,5
Hackajob,5
Som Imaging Informatics,5
KKR India Asset Finance,5
Winfort,5
Pharmsight,5
ICU Medical,5
IT Industry,5
Resilinc,5
IT MNC,5
C5i,5
Visit Health,5
Yipitdata,5
Mactores Cognition,5
Virtualace In,5
ColumbiaSportswearCompany,5
Bloom Energy,5
tekskill,5
TALENTPULL AND INFRASTRUCTURE PRIVATE LIMITED,5
Ness Digital Engineering,5
Aivantage Global,5
OrangeMantra,5
Sarvagram Fincare,5
Kanini Software Solutions,5
banking,5
Smith & Nephew,5
Aristok Technologies,5
Citco,5
Einfochips,5
Hitech Digital Solutions,5
Savantys Solutions,5
Koantek,5
Themathcompany,5
Expleo,5
Softtek,5
Codaemon Softwares,5
Aeris Communications India,5
Prodapt Solutions,5
Schneider Electric,5
Apex Engineering Solutions,5
Weblineindia,5
Millennium Management,5
Radiant Digital Solutions,5
Data Economy,5
Bentley Systems,5
Taazaa Tech,5
Deloitte Consulting,5
Kaizen,5
Tata Communications,5
Xoriant,5
CRE Matrix,5
Velodata Global,5
Armakuni,5
Stark Industries,5
Intech Systems,5
Brahma Strategies,5
Mapps It Services,5
Altera Corporation,5
Eucloid Data Solutions,5
Termgrid,5
Interview Kickstart,5
"Cittabase Solutions Pvt Ltd.,",5
